City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
152,Cockburn Town,TC,21.4612,-71.1419,77.68,74,0,19.22,light rain
153,Mastic Beach,US,40.7668,-72.8521,49.17,93,100,3.44,overcast clouds
154,Kahului,US,20.8947,-156.47,76.84,86,40,3.44,scattered clouds
155,Ewa Beach,US,21.3156,-158.0072,75.15,78,100,8.05,overcast clouds
156,Batesville,US,35.7698,-91.641,65.84,90,100,8.01,moderate rain
157,Popondetta,PG,-8.7537,148.2534,84.72,74,67,5.37,broken clouds
158,Ilulissat,GL,69.2167,-51.1,-22.4,68,6,9.13,clear sky
159,Ostersund,SE,63.1792,14.6357,14.45,100,0,11.5,clear sky
160,Iwanai,JP,42.9744,140.5089,20.57,84,100,19.6,light snow
161,Georgetown,MY,5.4112,100.3354,89.53,74,20,11.5,few clouds
162,Aleksandrovka,UA,46.8383,32.7612,46.51,78,87,12.19,overcast clouds
163,Sobolevo,RU,54.4299,31.8996,42.76,95,100,15.17,light rain
164,Manaus,BR,-3.1019,-60.025,75.69,94,75,1.14,broken clouds
165,Iquitos,PE,-3.7481,-73.2472,77.04,94,20,2.3,few clouds
166,Tarko-Sale,RU,64.9225,77.785,3.4,95,100,16.26,light snow
167,Kuching,MY,1.55,110.3333,82.99,89,40,8.05,moderate rain
168,Nagua,DO,19.3832,-69.8474,72.3,88,72,6.53,broken clouds
169,Litovko,RU,49.2361,135.1742,-17.91,95,8,1.57,clear sky
170,Carballo,ES,43.213,-8.691,48.78,89,91,5.73,overcast clouds
171,Naqadeh,IR,36.9553,45.388,39.11,34,0,0.47,clear sky
172,Saint-Philippe,RE,-21.3585,55.7679,85.59,72,100,9.64,overcast clouds
173,Benjamin Hill,MX,30.1667,-111.1,46.44,61,100,3.89,overcast clouds
174,Lucea,JM,18.451,-78.1736,76.86,82,2,9.06,clear sky
175,Nanortalik,GL,60.1432,-45.2371,10.13,65,5,13.04,clear sky
176,Makakilo City,US,21.3469,-158.0858,73.44,78,75,0.0,broken clouds
177,Margate,GB,51.3813,1.3862,49.89,94,93,3.0,overcast clouds
178,Port Macquarie,AU,-31.4333,152.9167,77.9,62,0,9.22,clear sky
179,Khatanga,RU,71.9667,102.5,-13.02,98,100,5.5,overcast clouds
180,Scarborough,GB,54.2797,-0.4044,37.33,89,99,14.0,overcast clouds
181,Port Augusta,AU,-32.5,137.7667,76.03,44,0,23.96,clear sky
182,Assiniboia,CA,49.6334,-105.9845,13.82,85,7,6.91,clear sky
183,Castro,BR,-24.7911,-50.0119,63.93,91,100,2.48,overcast clouds
184,Wonthaggi,AU,-38.6044,145.5913,63.82,66,8,12.19,clear sky
185,Khani,GE,41.9563,42.9566,31.57,41,0,3.11,clear sky
186,Bonavista,CA,48.6499,-53.1147,30.96,91,100,9.53,overcast clouds
187,San Carlos De Bariloche,AR,-41.1456,-71.3082,51.55,58,20,23.02,few clouds
188,Molina,CL,-35.1167,-71.2833,62.33,55,0,8.05,clear sky
189,Axim,GH,4.8699,-2.2405,75.51,88,22,4.45,few clouds
190,Shambu,ET,9.5667,37.1,62.76,48,26,2.62,scattered clouds
191,Chernyshevskiy,RU,63.0128,112.4714,0.77,93,100,10.63,overcast clouds
192,Esil,KZ,51.9556,66.4042,28.17,94,100,18.81,light snow
193,Thompson,CA,55.7435,-97.8558,14.16,85,100,0.0,light snow
194,Zistersdorf,AT,48.5333,16.75,44.98,89,100,6.13,overcast clouds
195,Tucuma,BR,-0.1833,-50.05,74.93,93,27,4.52,scattered clouds
196,Kaitangata,NZ,-46.2817,169.8464,61.84,82,100,5.06,overcast clouds
197,Laguna,US,38.421,-121.4238,44.58,93,100,10.36,overcast clouds
198,Chara,RU,56.9064,118.2631,-9.71,74,76,0.58,broken clouds
199,Hay River,CA,60.8156,-115.7999,6.78,85,75,4.61,broken clouds
200,Togur,RU,58.3631,82.8265,7.36,95,89,6.2,overcast clouds
201,Pangnirtung,CA,66.1451,-65.7125,-11.52,96,100,2.17,overcast clouds
202,Leningradskiy,RU,69.3833,178.4167,-22.72,97,100,15.17,overcast clouds
203,Saquarema,BR,-22.92,-42.5103,70.27,89,4,8.39,clear sky
204,Denizli,TR,37.8402,29.0698,50.31,37,0,1.14,clear sky
205,Port Hardy,CA,50.6996,-127.4199,42.98,75,100,20.71,light rain
206,Kalengwa,ZM,-13.4659,25.0027,64.53,92,100,1.79,overcast clouds
207,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,69.76,95,100,5.39,overcast clouds
208,Nova Olimpia,BR,-14.7972,-57.2881,72.48,94,100,3.36,light rain
209,Vero Beach,US,27.6386,-80.3973,74.98,80,0,10.42,clear sky
210,Dingle,PH,10.9995,122.6711,76.17,93,100,11.25,light rain
211,Aberdeen,GB,57.1437,-2.0981,37.2,93,40,12.66,scattered clouds
212,Boyabat,TR,41.4689,34.7667,44.11,43,0,0.36,clear sky
213,Mandalgovi,MN,45.7625,106.2708,7.93,76,21,9.95,few clouds
214,Berdigestyakh,RU,62.0989,126.6992,-20.24,100,100,2.75,overcast clouds
215,Guadalajara,MX,20.6667,-103.3333,56.98,100,43,2.62,scattered clouds
216,Kudirkos Naumiestis,LT,54.7731,22.8631,42.82,71,100,21.43,overcast clouds
217,Rio Grande,BR,-32.035,-52.0986,66.25,85,19,10.69,few clouds
218,Timbauba,BR,-7.5053,-35.3183,73.08,90,100,1.97,overcast clouds
219,Prim Decembrie,RO,44.2908,26.0581,47.1,77,1,7.94,clear sky
220,Grand Gaube,MU,-20.0064,57.6608,85.37,58,90,8.99,overcast clouds
221,Fairbanks,US,64.8378,-147.7164,5.09,85,0,0.0,clear sky
222,Kula,TR,38.5473,28.6498,43.54,38,0,4.03,clear sky
223,Bandarbeyla,SO,9.4942,50.8122,78.94,63,51,21.79,broken clouds
224,Kibala,TD,9.1104,18.3463,62.55,59,0,4.61,clear sky
225,Bagdarin,RU,54.4333,113.6,-0.51,80,63,0.98,broken clouds
226,Linao,PH,7.1678,124.9675,81.12,82,96,1.03,overcast clouds
227,Hambantota,LK,6.1241,81.1185,86.34,62,40,13.8,scattered clouds
228,Prainha,BR,-1.8,-53.48,71.92,97,43,2.8,scattered clouds
229,Yumen,CN,40.2833,97.2,25.29,41,20,14.18,few clouds
230,Trelew,AR,-43.249,-65.3051,61.05,44,6,22.7,clear sky
231,Huarmey,PE,-10.0681,-78.1522,68.43,90,70,6.26,broken clouds
232,San Juan Bautista,PE,-14.0108,-75.7358,71.51,72,100,1.95,overcast clouds
233,Pali,IN,25.7667,73.3333,71.24,23,59,10.42,broken clouds
234,Deputatskiy,RU,69.3,139.9,-40.27,99,39,4.79,scattered clouds
235,Karratha,AU,-20.7377,116.8463,89.62,57,52,22.24,broken clouds
236,Luoyang,CN,34.6836,112.4536,50.85,32,0,4.32,clear sky
237,Tual,ID,-5.6667,132.75,83.8,77,99,15.28,overcast clouds
238,Shigony,RU,53.3875,48.6777,22.68,91,100,10.76,overcast clouds
239,Bichura,RU,50.5881,107.6022,-2.45,92,82,1.83,broken clouds
240,Ozark,US,37.0209,-93.206,61.39,97,100,6.2,overcast clouds
241,Chuy,UY,-33.6971,-53.4616,58.41,87,1,4.99,clear sky
242,Morant Bay,JM,17.8815,-76.4093,76.62,83,3,7.85,clear sky
243,Arrecife,ES,28.963,-13.5477,60.78,82,0,10.36,clear sky
244,Manta,EC,-0.95,-80.7333,76.78,83,40,3.44,scattered clouds
245,Sitka,US,57.0531,-135.33,37.54,94,95,4.68,overcast clouds
246,Nikolskoye,RU,59.7035,30.7861,26.8,94,100,8.88,snow
247,Calvinia,ZA,-31.4707,19.776,81.05,33,0,6.91,clear sky
248,Gaoual,GN,11.75,-13.2,64.87,37,13,2.1,few clouds
249,Guisa,CU,20.255,-76.5386,67.5,91,0,4.61,clear sky
250,Mityana,UG,0.4175,32.0228,77.09,48,2,3.2,clear sky
251,Ahipara,NZ,-35.1667,173.1667,63.82,93,100,15.59,overcast clouds
252,Mormugao,IN,15.4,73.8,85.26,45,0,5.75,clear sky
253,Batemans Bay,AU,-35.7167,150.1833,68.09,97,100,6.6,moderate rain
254,Resplendor,BR,-19.3256,-41.2553,68.05,97,80,1.03,broken clouds
255,Manzanillo,CU,20.3433,-77.1167,70.97,90,0,8.12,clear sky
256,Kenai,US,60.5544,-151.2583,24.89,96,0,0.0,mist
257,Itoman,JP,26.1247,127.6694,64.42,82,75,16.11,broken clouds
258,Vestmannaeyjar,IS,63.4427,-20.2734,35.44,75,100,19.51,overcast clouds
259,Santo Augusto,BR,-27.8508,-53.7772,61.75,81,0,5.28,clear sky
260,Nancha,CN,47.1333,129.2667,8.82,63,3,9.28,clear sky
261,Clyde River,CA,70.4692,-68.5914,-32.57,68,0,3.44,clear sky
262,Santa Cruz,BO,-17.8,-63.1667,74.66,94,75,3.44,broken clouds
263,Itaituba,BR,-4.2761,-55.9836,72.21,100,100,1.68,overcast clouds
264,Portland,US,45.5234,-122.6762,46.29,93,100,3.0,overcast clouds
265,Mundo Nuevo,MX,18.7,-95.5,73.98,86,99,3.42,overcast clouds
266,Smoky Lake,CA,54.1169,-112.4686,11.12,85,100,5.75,overcast clouds
267,Kavaratti,IN,10.5669,72.642,80.98,67,3,6.2,clear sky
268,Oksfjord,NO,70.2396,22.3479,30.38,98,100,2.73,snow
269,Moranbah,AU,-22.0016,148.0466,94.3,29,82,8.28,broken clouds
270,Rio Gallegos,AR,-51.6226,-69.2181,50.05,53,0,23.02,clear sky
271,Milkovo,RU,54.7167,158.6167,9.07,90,100,3.02,overcast clouds
272,Bathsheba,BB,13.2167,-59.5167,77.61,78,40,20.71,scattered clouds
273,Kushmurun,KZ,52.4503,64.6311,25.84,90,100,22.1,overcast clouds
274,Jaunpur,IN,25.7333,82.6833,57.22,36,0,1.23,clear sky
275,Katangli,RU,51.7102,143.2326,2.35,93,100,19.26,light snow
276,Quelimane,MZ,-17.8786,36.8883,85.51,58,87,5.32,overcast clouds
277,Auki,SB,-8.7676,160.7034,80.71,82,75,5.26,light rain
278,Praia,CV,14.9215,-23.5087,73.94,53,0,18.41,clear sky
279,Ionia,US,42.9873,-85.0711,37.24,99,100,6.91,overcast clouds
280,Carbonia,IT,39.1672,8.5222,46.0,63,100,2.68,overcast clouds
281,Razdolinsk,RU,58.4211,94.6658,10.87,95,100,6.58,overcast clouds
282,Kaeo,NZ,-35.1,173.7833,68.32,87,100,18.52,moderate rain
283,Turukhansk,RU,65.8167,87.9833,-23.85,96,9,5.93,clear sky
284,San Cristobal,VE,7.7669,-72.225,63.03,96,84,3.0,broken clouds
285,Klaksvik,FO,62.2266,-6.589,43.72,86,89,29.24,overcast clouds
286,Alyangula,AU,-13.8483,136.4192,85.12,71,100,15.73,moderate rain
287,Oyon,PE,-10.6681,-76.7731,44.56,91,97,3.49,overcast clouds
288,Banda Aceh,ID,5.5577,95.3222,82.08,71,100,2.48,overcast clouds
289,San Quintin,MX,30.4833,-115.95,55.44,72,42,3.22,scattered clouds
290,Jimma,ET,7.6667,36.8333,69.21,57,95,3.06,overcast clouds
